date,drafts,mean_v,drafts_normal,mean_v_normal,score
20140224,1894,0.1835,1.0,0.6018563060641218,1.6018563060641218
20220827,1845,-0.2327,0.9740466101694916,0.48408274144712643,1.458129351616618
20140601,1830,-0.2182,0.9661016949152542,0.4881858569852005,1.4542875519004548
20140831,1832,-0.2351,0.9671610169491526,0.48340360508220376,1.4505646220313564
20140526,1527,0.1069,0.805614406779661,0.5801805370836752,1.3857949438633361
20220727,1688,-0.3343,0.8908898305084746,0.45533263533206936,1.346222465840544
20221013,1505,-0.0147,0.7939618644067796,0.5457709612609298,1.3397328256677095
20140811,1575,-0.2491,0.8310381355932204,0.47944197628682195,1.3104801118800422
20221028,1523,-0.177,0.8034957627118644,0.49984436458303855,1.303340127294903
20140716,1454,-0.0845,0.7669491525423728,0.5260194119810974,1.2929685645234703
20140412,1263,0.1857,0.6657838983050848,0.6024788477319676,1.2682627460370524
20140906,1394,-0.0871,0.7351694915254238,0.5252836809190979,1.2604531724445218
20220803,1519,-0.4188,0.8013771186440678,0.4314213758170859,1.2327984944611536
20221007,1227,0.0537,0.6467161016949152,0.5651263476612242,1.2118424493561393
20221010,1285,-0.0741,0.6774364406779662,0.5289623362290953,1.2063987769070614
20220911,1265,-0.0919,0.666843220338983,0.5239254081892526,1.1907686285282355
20220617,1198,-0.0129,0.6313559322033898,0.5462803135346218,1.1776362457380116
20220610,1307,-0.2183,0.6890889830508474,0.4881575596366621,1.1772465426875094
20221017,1204,-0.0467,0.6345338983050848,0.5367158097286284,1.1712497080337132
20220723,1192,-0.1102,0.628177966101695,0.5187469934067178,1.1469249595084128
20140827,1203,-0.153,0.6340042372881356,0.5066357282322647,1.1406399655204003
20140530,1200,-0.1634,0.6324152542372882,0.5036928039842666,1.1361080582215548
20221111,1128,-0.0364,0.5942796610169492,0.539630436628088,1.1339100976450371
20140310,1074,0.0557,0.565677966101695,0.565692294631993,1.131370260733688
20220729,1145,-0.0966,0.6032838983050848,0.5225954328079458,1.1258793311130306
20220724,1047,0.0311,0.5513771186440678,0.5587311468915362,1.110108265535604
20140312,990,0.1325,0.5211864406779662,0.5874246583095164,1.1086110989874824
20140829,1151,-0.1771,0.6064618644067796,0.4998160672345001,1.1062779316412796
20220730,1121,-0.2065,0.590572033898305,0.49149664676419824,1.0820686806625033
20220913,1022,-0.0395,0.538135593220339,0.5387532188233962,1.0768888120437352
20140414,951,0.0143,0.5005296610169492,0.553977192337078,1.0545068533540272
20221014,1091,-0.2545,0.5746822033898306,0.4779139194657461,1.0525961228555767
20140904,949,-0.0336,0.4994703389830508,0.5404227623871642,1.039893101370215
20140823,951,-0.0478,0.5005296610169492,0.5364045388947055,1.0369341999116548
20140903,1097,-0.3478,0.5778601694915254,0.45151249327937976,1.0293726627709052
20220914,988,-0.1453,0.5201271186440678,0.5088146240697247,1.0289417427137924
20220620,902,-0.0261,0.4745762711864407,0.5425450635275475,1.0171213347139882
20180703,1036,-0.2955,0.5455508474576272,0.46631200656498484,1.011862854022612
20190725,27,1.5905,0.011122881355932203,1.0,1.0111228813559323
20161221,935,-0.1187,0.4920550847457627,0.5163417187809503,1.008396803526713
20220926,911,-0.0978,0.4793432203389831,0.5222558646254846,1.0015990849644676
20140712,876,-0.0346,0.4608050847457627,0.5401397889017799,1.0009448736475426
20200812,1089,-0.4397,0.5736228813559322,0.4255072299725516,0.9991301113284838
20220702,967,-0.2297,0.5090042372881356,0.48493166190327963,0.9939358991914152
20220714,978,-0.2542,0.5148305084745762,0.47799881151136137,0.9928293199859376
20140822,848,-0.0222,0.4459745762711864,0.5436486601205467,0.9896232363917331
20220928,933,-0.1847,0.4909957627118644,0.4976654687455785,0.9886612314574429
20220725,1013,-0.3476,0.5333686440677966,0.4515690879764566,0.9849377320442532
20220802,935,-0.2299,0.4920550847457627,0.48487506720620277,0.9769301519519655
20220821,1117,-0.579,0.5884533898305084,0.38608902345850193,0.9745424132890104
20140510,772,0.0658,0.4057203389830508,0.5685503268343756,0.9742706658174264
20220923,798,0.0082,0.4194915254237288,0.5522510540762331,0.9717425794999619
20200814,842,-0.0809,0.4427966101694915,0.5270381165284813,0.9698347266979728
20220623,1005,-0.4086,0.5291313559322034,0.434307705368007,0.9634390613002104
20220616,897,-0.2547,0.4719279661016949,0.4778573247686692,0.9497852908703641
20200806,872,-0.208,0.4586864406779661,0.49107218653612156,0.9497586272140877
20220925,807,-0.0898,0.4242584745762712,0.5245196525085599,0.9487781270848311
20220613,786,-0.0831,0.413135593220339,0.5264155748606356,0.9395511680809746
20140505,296,0.8332,0.15360169491525424,0.7857041795183791,0.9393058744336333
20220703,819,-0.1524,0.430614406779661,0.5068055123234952,0.9374199191031563
20220609,803,-0.1371,0.4221398305084746,0.5111350066498769,0.9332748371583515
20220708,802,-0.1438,0.4216101694915254,0.5092390842978013,0.9308492537893267
20140830,757,-0.0764,0.3977754237288136,0.5283114972127112,0.9260869209415248
20140516,620,0.1797,0.3252118644067797,0.600781006819661,0.9259928712264407
20220818,750,-0.0712,0.3940677966101695,0.5297829593367102,0.9238507559468796
20200730,693,0.0343,0.3638771186440678,0.5596366620447664,0.9235137806888342
20180830,858,-0.2812,0.451271186440678,0.47035852740598205,0.92162971384666
20140225,615,0.1615,0.3225635593220339,0.5956308893856647,0.9181944487076985
20200719,648,0.0573,0.3400423728813559,0.5661450522086081,0.906187425089964
20200527,120,1.0295,0.06038135593220339,0.8412518746993407,0.9016332306315441
20221022,668,-0.0154,0.350635593220339,0.5455728798211608,0.8962084730414998
