date,drafts,mean_v,drafts_normal,mean_v_normal,score
20220911,1024,-0.0376,0.9723018147086915,0.6400889510589838,1.6123907657676753
20200812,1053,-0.4865,1.0,0.5595846559423252,1.5595846559423252
20140414,946,0.0143,0.897803247373448,0.6493965316260468,1.5471997789994947
20140312,839,0.2266,0.7956064947468959,0.687469736912896,1.4830762316597919
20221013,831,-0.0843,0.7879656160458453,0.6317139219167518,1.419679537962597
20140712,767,-0.0346,0.7268385864374403,0.6406269614963862,1.3674655479338265
20140830,719,-0.0761,0.6809933142311366,0.6331844837789853,1.314177798010122
20140412,624,0.3497,0.5902578796561605,0.7095460985276447,1.2998039781838053
20140713,682,-0.1333,0.6456542502387774,0.6229264181058445,1.268580668344622
20140831,668,-0.1792,0.6322827125119389,0.6146948584135865,1.2469775709255253
20220725,338,1.578,0.31709646609360076,0.9298255052814691,1.2469219713750699
20220628,587,0.0357,0.5549188156638013,0.6532343394128511,1.2081531550766524
20220910,573,0.0471,0.5415472779369628,0.6552787790749807,1.1968260570119433
20140421,566,0.0541,0.5348615090735435,0.6565341367622531,1.1913956458357966
20220617,544,0.1286,0.5138490926456543,0.6698947292910815,1.1837438219367358
20220724,554,0.0577,0.5234001910219676,0.6571797492871361,1.1805799403091037
20220926,571,-0.0826,0.5396370582617,0.6320187944979465,1.1716558527596466
20200719,434,0.6312,0.4087870105062082,0.7600294112372445,1.1688164217434527
20140510,532,0.1023,0.5023877745940784,0.6651781711231864,1.1675659457172647
20220711,588,-0.2129,0.5558739255014327,0.608651207833432,1.1645251333348647
20140310,486,0.1982,0.4584527220630373,0.6823765714388191,1.1408292935018565
20140817,527,-0.1152,0.4976122254059217,0.6261724144115062,1.1237846398174278
20140530,504,-0.0087,0.47564469914040114,0.6452717849392944,1.1209164840796955
20220923,496,-0.0185,0.4680038204393505,0.643514284177113,1.1115181046164635
20140816,480,0.0594,0.45272206303724927,0.6574846218683309,1.11020668490558
20140516,485,0.031,0.4574976122254059,0.652391456394254,1.1098890686196599
20140514,440,0.2215,0.4145176695319962,0.6865551191693118,1.101072788701308
20140809,523,-0.2229,0.49379178605539636,0.606857839708757,1.1006496257641534
20180712,400,0.4124,0.3763132760267431,0.7207905166693567,1.0971037926960998
20220909,479,-0.0142,0.45176695319961796,0.6442854324707231,1.096052385670341
20220818,495,-0.1281,0.4670487106017192,0.6238589695306755,1.0909076801323947
20220621,457,0.0156,0.43075453677172876,0.6496296694822545,1.0803842062539832
20220802,617,-0.8699,0.5835721107927412,0.49082692204228756,1.0743990328350288
20140505,296,0.8332,0.276981852913085,0.7962554473556785,1.0732373002687636
20220925,458,-0.0663,0.43170964660936006,0.6349419845411667,1.0666516311505267
20220702,494,-0.2607,0.46609360076408785,0.6000789081974857,1.0661725089615735
20180713,420,0.0848,0.3954154727793696,0.6620397769050053,1.057455249684375
20220501,463,-0.1521,0.4364851957975167,0.6195548860314556,1.0560400818289724
20161207,472,-0.2073,0.44508118433619864,0.6096554939832499,1.0547366783194485
20220722,493,-0.3663,0.46513849092645654,0.5811409408009182,1.0462794317273747
20140225,372,0.2613,0.3495702005730659,0.6936927243055181,1.043262924878584
20220703,433,-0.0748,0.4078319006685769,0.633417621635193,1.0412495223037699
20180802,45,1.9693,0.03724928366762178,1.0,1.0372492836676217
20140829,423,-0.0514,0.3982808022922636,0.6376141030469323,1.035894905339196
20220904,404,-0.0556,0.38013371537726837,0.6368608884345689,1.0169946038118374
20220830,370,0.1253,0.34765998089780326,0.6693029178099388,1.016962898707742
20220509,430,-0.2075,0.4049665711556829,0.6096196266207564,1.0145861977764392
20140901,415,-0.1282,0.39063992359121297,0.6238410358494287,1.0144809594406416
20140823,388,-0.0225,0.3648519579751671,0.642796936927243,1.00764889490241
20220612,363,0.092,0.34097421203438394,0.6633310019547712,1.0043052139891553
20200601,331,0.2567,0.3104106972301815,0.6928677749681676,1.0032784721983492
20220718,385,-0.0377,0.36198662846227314,0.6400710173777371,1.0020576458400101
20140519,361,0.0803,0.3390639923591213,0.6612327612489015,1.0002967536080227
20211120,413,-0.1977,0.38872970391595035,0.6113771273829378,1.000106831298888
20220731,416,-0.2158,0.39159503342884433,0.6081311310772762,0.9997261645061206
20220924,381,-0.0606,0.35816618911174786,0.6359642043722314,0.9941303934839794
20221010,351,0.0916,0.32951289398280803,0.6632592672297842,0.9927721612125923
20220928,358,0.0499,0.3361986628462273,0.6557809221498897,0.991979584996117
20140224,348,0.1031,0.32664756446991405,0.6653216405731603,0.9919692050430744
20140709,403,-0.2075,0.37917860553963706,0.6096196266207564,0.9887982321603934
20140614,410,-0.2449,0.3858643744030564,0.602912429834472,0.9887768042375285
20220831,296,0.3331,0.276981852913085,0.7065691074406842,0.9835509603537693
20140213,347,0.0575,0.3256924546322827,0.6571438819246426,0.9828363365569253
20220820,428,-0.4073,0.40305635148042024,0.5737881314897508,0.976844482970171
20220415,361,-0.0732,0.3390639923591213,0.633704560535141,0.9727685528942623
20140815,376,-0.182,0.3533906399235912,0.6141927153386775,0.9675833552622687
20220613,408,-0.3763,0.3839541547277937,0.5793475726762431,0.9633017274040369
20220906,342,-0.0325,0.3209169054441261,0.641003568802568,0.9619204742466941
20220827,364,-0.1633,0.3419293218720153,0.6175463137318197,0.959475635603835
20221019,334,-0.0054,0.3132760267430755,0.6458635964204372,0.9591396231635128
20180818,69,1.3951,0.06017191977077364,0.8970248022811642,0.9571967220519378
20220610,155,0.9306,0.14231136580706782,0.8137228528900127,0.9560342186970805
